2 8 2 8 5 3 8 . 0 3 1 2 5
2 7 8 2 5 5 7 . 7 5 6 8 3 5 9 3 7 5
2 7 6 3 2 0 6 . 1 4 1 6 0 1 5 6 2 5
2 8 2 5 8 8 9 . 2 5 8 7 8 9 0 6 2 5
2 8 3 0 8 0 0 . 1 7 2 8 5 1 5 6 2 5
2 7 8 0 6 3 0 . 2 5 9 7 6 5 6 2 5
2 7 9 2 8 0 0 . 4 9 8 0 4 6 8 7 5
2 8 4 2 9 1 4 . 4 3 6 5 2 3 4 3 7 5
2 8 1 5 2 8 3 . 3 0 2 7 3 4 3 7 5


[9,  6600] loss: 21754.338
[9,  6800] loss: 21665.583
[9,  7000] loss: 21672.697
[9,  7200] loss: 21661.205
[9,  7400] loss: 21630.974
[9,  7600] loss: 21616.194
[9,  7800] loss: 21676.267
[9,  8000] loss: 21465.860
[9,  8200] loss: 21590.920
[9,  8400] loss: 21632.799
[9,  8600] loss: 21572.484
[9,  8800] loss: 21787.734
[10,   200] loss: 21323.569
[10,   400] loss: 21795.273
[10,   600] loss: 21415.195
[10,   800] loss: 21462.500
[10,  1000] loss: 21786.603
[10,  1200] loss: 22014.600
[10,  1400] loss: 21500.695
[10,  1600] loss: 21485.662
[10,  1800] loss: 21556.009
[10,  2000] loss: 21715.884
[10,  2200] loss: 21705.101
[10,  2400] loss: 21655.910
[10,  2600] loss: 21711.490
[10,  2800] loss: 21528.115
[10,  3000] loss: 21788.439
[10,  3200] loss: 21522.914
[10,  3400] loss: 21277.976
[10,  3600] loss: 21574.528
[10,  3800] loss: 21748.757
[10,  4000] loss: 21408.361
[10,  4200] loss: 21560.525
[10,  4400] loss: 21609.654
[10,  4600] loss: 21810.365
[10,  4800] loss: 21414.626
[10,  5000] loss: 21812.965
[10,  5200] loss: 21747.392
[10,  5400] loss: 21261.424
[10,  5600] loss: 21512.837
[10,  5800] loss: 21458.595
[10,  6000] loss: 21950.073
[10,  6200] loss: 21559.043
[10,  6400] loss: 21538.936
[10,  6600] loss: 21629.213
[10,  6800] loss: 21639.602
[10,  7000] loss: 21518.846
[10,  7200] loss: 21531.628
[10,  7400] loss: 21640.651
[10,  7600] loss: 21893.473
[10,  7800] loss: 21842.739
[10,  8000] loss: 21370.109
[10,  8200] loss: 21381.749
[10,  8400] loss: 21559.487
[10,  8600] loss: 21869.006
[10,  8800] loss: 21654.992
[11,   200] loss: 21473.734
[11,   400] loss: 21390.326
[11,   600] loss: 21740.336
[11,   800] loss: 21623.677
[11,  1000] loss: 21565.938
[11,  1200] loss: 21941.202
[11,  1400] loss: 21575.103
[11,  1600] loss: 21639.270
[11,  1800] loss: 21324.855
[11,  2000] loss: 21664.789
[11,  2200] loss: 21668.561
[11,  2400] loss: 21806.774
[11,  2600] loss: 21438.885
[11,  2800] loss: 21813.482
[11,  3000] loss: 21477.476
[11,  3200] loss: 21514.917
[11,  3400] loss: 21499.031
[11,  3600] loss: 21384.011
[11,  3800] loss: 21610.166
[11,  4000] loss: 21725.575
[11,  4200] loss: 21865.372
[11,  4400] loss: 21706.783
[11,  4600] loss: 21418.383
[11,  4800] loss: 21417.930
[11,  5000] loss: 21615.673
[11,  5200] loss: 21524.520
[11,  5400] loss: 21748.769
[11,  5600] loss: 21446.872
[11,  5800] loss: 21784.172
[11,  6000] loss: 21756.439
[11,  6200] loss: 21719.142
[11,  6400] loss: 21537.513
